s_info_windcode,startVol,startBalance,sell,repay,endVol,endBalance,change,change_balance,group,code
600116.SH,6.1,43.86,0.0,0.0,6.1,44.16,0.0,0.29999999999999716,其他股票,600116.SH
600129.SH,4.8,48.62,0.0,0.0,4.8,48.72,0.0,0.10000000000000142,其他股票,600129.SH
600155.SH,222.0,2712.84,275.0,0.0,497.0,6679.68,275.0,3966.84,中证500,600155.SH
600166.SH,342.5,719.25,33.0,2.5,373.0,790.76,30.5,71.50999999999999,中证500,600166.SH
600183.SH,52.14,1433.85,0.0,0.0,52.14,1406.74,0.0,-27.1099999999999,中证500,600183.SH
600188.SH,38.0,410.4,0.0,0.0,38.0,423.32,0.0,12.920000000000016,沪深300,600188.SH
600196.SH,4.3,120.1,0.0,0.0,4.3,120.79,0.0,0.6900000000000119,沪深300,600196.SH
600276.SH,42.59,3344.2,4.8,0.0,47.39,3710.57,4.799999999999997,366.37000000000035,沪深300,600276.SH
600285.SH,7.02,58.9,0.0,0.0,7.02,59.04,0.0,0.14000000000000057,其他股票,600285.SH
600298.SH,2.0,57.54,0.0,0.0,2.0,56.6,0.0,-0.9399999999999977,中证500,600298.SH
600309.SH,108.0,4863.4,0.0,0.0,108.0,4958.44,0.0,95.03999999999996,沪深300,600309.SH
600315.SH,21.43,738.91,0.0,0.0,21.43,710.19,0.0,-28.719999999999914,中证500,600315.SH
600329.SH,3.9,56.3,0.0,0.0,3.9,56.42,0.0,0.12000000000000455,中证500,600329.SH
600332.SH,2.35,86.25,0.0,0.0,2.35,86.08,0.0,-0.1700000000000017,沪深300,600332.SH
600340.SH,3.69,97.45,0.0,0.0,3.69,99.41,0.0,1.9599999999999937,沪深300,600340.SH
600352.SH,20.65,295.91,0.0,0.0,20.65,300.66,0.0,4.75,沪深300,600352.SH
600362.SH,3.48,50.46,0.0,0.0,3.48,51.12,0.0,0.6599999999999966,沪深300,600362.SH
600373.SH,3.2,41.18,0.0,0.0,3.2,41.47,0.0,0.28999999999999915,中证500,600373.SH
600409.SH,3.77,20.06,0.0,0.0,3.77,20.21,0.0,0.15000000000000213,中证500,600409.SH
600410.SH,54.6,648.65,0.0,0.0,54.6,651.92,0.0,3.269999999999982,中证500,600410.SH
600415.SH,38.86,150.45,0.0,0.0,38.86,151.22,0.0,0.7700000000000102,沪深300,600415.SH
600426.SH,20.0,336.8,0.0,0.0,20.0,332.8,0.0,-4.0,中证500,600426.SH
600436.SH,9.92,981.68,1.0,0.0,10.92,1082.72,1.0,101.04000000000008,沪深300,600436.SH
600458.SH,9.6,84.77,0.0,0.0,9.6,86.4,0.0,1.6300000000000097,中证500,600458.SH
600470.SH,441.74,2173.36,0.0,64.0,377.74,1854.7,-64.0,-318.6600000000001,其他股票,600470.SH
600486.SH,6.0,315.48,0.0,0.0,6.0,315.0,0.0,-0.4800000000000182,中证500,600486.SH
600489.SH,20.0,194.8,0.0,0.0,20.0,195.6,0.0,0.799999999999983,沪深300,600489.SH
600490.SH,267.82,1406.06,0.0,0.0,267.82,1414.09,0.0,8.029999999999973,其他股票,600490.SH
600498.SH,9.7,269.66,0.0,0.0,9.7,268.01,0.0,-1.650000000000034,沪深300,600498.SH
600499.SH,5.7,23.48,0.0,0.0,5.7,23.54,0.0,0.05999999999999872,中证500,600499.SH
600507.SH,3.0,25.44,0.0,0.0,3.0,26.43,0.0,0.9899999999999984,中证500,600507.SH
600516.SH,12.0,124.8,0.0,0.0,12.0,137.28,0.0,12.480000000000004,沪深300,600516.SH
600519.SH,2.0,2280.0,1.0,0.0,3.0,3375.03,1.0,1095.0300000000002,沪深300,600519.SH
600521.SH,11.46,198.37,0.0,0.0,11.46,200.78,0.0,2.4099999999999966,中证500,600521.SH
600531.SH,50.53,265.28,0.0,1.0,49.53,270.43,-1.0,5.150000000000034,其他股票,600531.SH
600535.SH,2.4,41.26,0.0,0.0,2.4,41.14,0.0,-0.11999999999999744,沪深300,600535.SH
600536.SH,52.28,4443.8,0.0,14.0,38.28,3303.56,-14.0,-1140.2400000000002,中证500,600536.SH
600547.SH,89.0,3511.05,62.2,0.0,151.2,6023.81,62.19999999999999,2512.76,沪深300,600547.SH
600566.SH,2.97,87.94,0.0,0.0,2.97,88.15,0.0,0.21000000000000796,沪深300,600566.SH
600567.SH,124.0,381.92,0.0,0.0,124.0,384.4,0.0,2.4799999999999613,中证500,600567.SH
600584.SH,72.61,1109.48,0.0,0.0,72.61,1220.57,0.0,111.08999999999992,中证500,600584.SH
600594.SH,15.0,76.35,0.0,1.0,14.0,71.26,-1.0,-5.089999999999989,其他股票,600594.SH
600640.SH,62.7,779.99,0.0,24.0,38.7,477.56,-24.0,-302.43,中证500,600640.SH
600642.SH,50.0,286.0,0.0,0.0,50.0,289.5,0.0,3.5,中证500,600642.SH
600688.SH,5.5,23.32,0.0,0.0,5.5,23.49,0.0,0.16999999999999815,沪深300,600688.SH
600690.SH,13.0,204.75,0.0,0.0,13.0,206.18,0.0,1.4300000000000068,沪深300,600690.SH
600702.SH,17.85,493.91,0.0,0.0,17.85,488.73,0.0,-5.180000000000007,其他股票,600702.SH
600703.SH,19.02,221.39,0.0,3.0,16.02,187.51,-3.0,-33.879999999999995,沪深300,600703.SH
600705.SH,13.31,64.29,0.0,0.0,13.31,64.82,0.0,0.5299999999999869,沪深300,600705.SH
600733.SH,23.0,157.09,0.0,0.0,23.0,158.47,0.0,1.3799999999999955,沪深300,600733.SH
600741.SH,22.0,548.9,0.0,0.0,22.0,548.68,0.0,-0.22000000000002728,沪深300,600741.SH
600745.SH,41.4,2289.83,296.0,0.0,337.4,20527.42,296.0,18237.589999999997,中证500,600745.SH
600760.SH,4.0,144.52,0.0,0.0,4.0,146.32,0.0,1.799999999999983,沪深300,600760.SH
600776.SH,54.68,1120.39,0.0,0.0,54.68,1116.57,0.0,-3.8200000000001637,其他股票,600776.SH
600779.SH,3.67,171.94,0.0,0.0,3.67,172.05,0.0,0.11000000000001364,中证500,600779.SH
600795.SH,144.0,354.24,0.0,0.0,144.0,355.68,0.0,1.4399999999999977,沪深300,600795.SH
600809.SH,33.89,2716.48,0.0,0.0,33.89,2611.08,0.0,-105.40000000000009,沪深300,600809.SH
600816.SH,20.0,93.4,0.0,0.0,20.0,96.4,0.0,3.0,沪深300,600816.SH
600837.SH,1393.76,19662.59,142.0,0.0,1535.76,22078.02,142.0,2415.4300000000003,沪深300,600837.SH
600872.SH,49.2,2039.34,0.0,0.0,49.2,2011.3,0.0,-28.039999999999964,中证500,600872.SH
600886.SH,820.0,8077.0,0.0,0.0,820.0,7765.4,0.0,-311.60000000000036,沪深300,600886.SH
600887.SH,8.0,228.68,0.0,0.0,8.0,229.64,0.0,0.9599999999999795,沪深300,600887.SH
600893.SH,4.0,97.52,0.0,0.0,4.0,97.28,0.0,-0.23999999999999488,沪深300,600893.SH
600900.SH,107.73,2049.57,0.0,0.0,107.73,2037.72,0.0,-11.850000000000136,沪深300,600900.SH
600958.SH,334.93,3362.35,0.0,0.0,334.93,3429.33,0.0,66.98000000000002,沪深300,600958.SH
600999.SH,5.09,83.09,0.0,0.0,5.09,84.05,0.0,0.9599999999999937,沪深300,600999.SH
601012.SH,48.0,1387.2,0.0,20.0,28.0,806.12,-20.0,-581.08,沪深300,601012.SH
